status_condition_id,version_identifier,image_path
1,black-white,https://cdn.pokedb.org/ee204a27f1bd8dacbdf74e2c771db46c6f1ce611897a304362d400d381db3d53
1,brilliant-diamond-shining-pearl,https://cdn.pokedb.org/02aa10b8bb224dddacf0ff1457ea6ad17961f7c862fcf9f0395240b672a815f4
1,diamond-pearl,https://cdn.pokedb.org/960ff3a01afdaf61ad96f340d4acad156a4f148f923a25516e9dec5d4eea11e9
1,heartgold-soulsilver,https://cdn.pokedb.org/6914a15683670398ebb5bc971d476c547f5b18940c0f677441a2a569cbdfa999
1,legends-arceus,https://cdn.pokedb.org/0f8ee8008bdd6353527e52d1458570ea4bcf98d7f5909bab9ddd50a434ad7708
1,lets-go-pikachu-lets-go-eevee,https://cdn.pokedb.org/bbdee86cdfe06b1af4b4d78e6f0c86ae24f776c1151d5fee2313b82bcc788714
1,ruby-sapphire,https://cdn.pokedb.org/358690e3a6bdc71176889ee0581420c3ae705d670265d27a84249ca7f286f959
1,scarlet-violet,https://cdn.pokedb.org/b2df6dd4e34a4d5d084f9ee8004746791cc34f5cbf82bde49c097641d66175b4
1,sun-moon,https://cdn.pokedb.org/39143b7f9778a532f362b2a3668547d68bbad42f7fcfd1d6cc530e91139f0e1b
1,sword-shield,https://cdn.pokedb.org/f9f2367eba7ced9587043a8e07ff2cfb558e929492ed690963c24e604082616c
1,x-y,https://cdn.pokedb.org/a3b5a4be338defb7b46daf679580e27d999d64e69d75083655f92346b42dff01
2,black-white,https://cdn.pokedb.org/044af2f0f70f1571ff13a35232b6ce1f4c3efccd5d7c9d0999c9067dc916c8ac
2,brilliant-diamond-shining-pearl,https://cdn.pokedb.org/b7e6bb4deaf442162853d36d47c15cd700e33868751b48c0aacad78207b0889f
2,diamond-pearl,https://cdn.pokedb.org/35340a40c79a80043bf691e6d3cbcdf48d6b98d4372cdfca426535e6f20d50ca
2,heartgold-soulsilver,https://cdn.pokedb.org/70f1ecb41821490ac6190af58317c6f3697b3de2b3b91299fed968fca53ffe73
2,legends-arceus,https://cdn.pokedb.org/29f96e99861dc0f32c92ee6b7c9b11fec49369bb9393c0222ad07227b5295e7a
2,lets-go-pikachu-lets-go-eevee,https://cdn.pokedb.org/ea78f7c3f6221f73e6954c7ec9cce802aa53f93d45b4f42c465e58f6e35fe314
2,ruby-sapphire,https://cdn.pokedb.org/fb88142bca59fe0d570f058253e3c8dda32d04021ade93ec0f6d38d7bf5aeb97
2,scarlet-violet,https://cdn.pokedb.org/8e4abdafc109b6b8b16d30e28a4987877b34c6dcb1df04e6ae016ad8cbd57901
2,sun-moon,https://cdn.pokedb.org/fe922eec6511361091f7f9d1a9789d47c20ee901548b1cea730d177cf062281d
2,sword-shield,https://cdn.pokedb.org/11a0eda2a47d5206677f0d50c7faa074ecda133f4c951151ac5bbaf70442a185
2,x-y,https://cdn.pokedb.org/fd2a53d053a80add3062da0cdcca4760934c1034b8a22c0cfe709e0b48ecee70
3,black-white,https://cdn.pokedb.org/c5c37c1b95ade362dd2eaac400bb3f7c5a1c93345b35be8f48956586470062c0
3,brilliant-diamond-shining-pearl,https://cdn.pokedb.org/af86ca4f5850e5e21eab9d4a7e684c1f931ef463ae9d643a58c28a4cc96a6c6a
3,diamond-pearl,https://cdn.pokedb.org/113e11e1f8da9d4a58d0777b54502cfd26bc7be05a10040b30f5b849497afc8b
3,heartgold-soulsilver,https://cdn.pokedb.org/b79ec238c7b2a74e0fe43bac711f66f579688161e87e6d9883727b12fefc71e8
3,legends-arceus,https://cdn.pokedb.org/4c5f5406338b765984b6c73f21cced27533501bd2a044e75b01f16e0e9056f4f
3,lets-go-pikachu-lets-go-eevee,https://cdn.pokedb.org/0301636c5a967f954575410dcbc8cdd0c13334fe98e63db655c78c8675e9335e
3,ruby-sapphire,https://cdn.pokedb.org/25f96582cd07029be5acb1a5f572f523d134dc7729e3e20936d62c112bc9f9e7
3,scarlet-violet,https://cdn.pokedb.org/1b53f8c44ff63f83f565a9608ef706dbc2e0ae296b2fdbcf840edf3470927037
3,sun-moon,https://cdn.pokedb.org/2041cf526a257fa203ab9219cfe8bb6252c560f52fa7524115156e0deab28e08
3,sword-shield,https://cdn.pokedb.org/e3bdd3afc4f1e2d0cfad972c44782407fce9e93b96a1c0236d92b87d78962c78
3,x-y,https://cdn.pokedb.org/1724f679f355998364558713ff6730fd20b1c7bbc0fe3d5084f826a862dbb91e
4,black-white,https://cdn.pokedb.org/409916ca2e9172b627d813a2c74e683e3d39bdf8f5ac1d3f78b850406ddd2d37
4,black-white,https://cdn.pokedb.org/4556e1f5be6a842d00999faba3f8257221fdcf91de43b8524b6eed0961c447a8
4,brilliant-diamond-shining-pearl,https://cdn.pokedb.org/d66b04835333152a7839b3f38ac019f8177c9ce9a914ed3dee0b9c02ff42434b
4,brilliant-diamond-shining-pearl,https://cdn.pokedb.org/615e539808e1c724b0d3f24eb81e6ffd23b77d27c35d7bc42af5e8f4b2281b33
4,diamond-pearl,https://cdn.pokedb.org/5d81f87bf060394b565a8b247af2b688d68167d5d34a4fb4048485d9d3380d2d
4,heartgold-soulsilver,https://cdn.pokedb.org/1ecc4c8a36809a6858a4a356bbd3b64b74c172155094767cd39c448635d6619e
4,legends-arceus,https://cdn.pokedb.org/e9452551d51dc18127c0fcc234088082c7e5a26bd580435d288e740db320c125
4,legends-arceus,https://cdn.pokedb.org/346207ab66bf1894fb6def69dd3d3f1a5651b7cc8c633834a8dc9a403e85827f
4,lets-go-pikachu-lets-go-eevee,https://cdn.pokedb.org/179c0c6921869d63a63ecab8f220feb0544caed521e7dd055c36416bb5d163ff
4,ruby-sapphire,https://cdn.pokedb.org/c841ad15b9f93966eff2c7674eb8348eb6da166b4d31f23207f70c42efe75220
4,scarlet-violet,https://cdn.pokedb.org/e388adaa135c34a97155041a19f1d42b5ce4f2b5d712c9d50f3bb6378893698b
4,scarlet-violet,https://cdn.pokedb.org/9596649cd3284cc45407075225c55e8d2cbc8cf019617aff84c82b742d6edd99
4,sun-moon,https://cdn.pokedb.org/377a8633cb923f3ec3a08a2fc2018cf3975ebdb45d177e791a5a557c48775ec6
4,sun-moon,https://cdn.pokedb.org/9aa99ba43ee3e7481f8fd2360d0407b43b857c4fe4a5042253868dda1029f624
4,sword-shield,https://cdn.pokedb.org/8fe3de7143245d1f5b21d092fa3b784e702e38564a3e34b60900877e7a93f084
4,sword-shield,https://cdn.pokedb.org/0e52985e7907e66a4e7619481edfec8cfb6b41403d536fb4aa149cfd7daefd1f
4,x-y,https://cdn.pokedb.org/ac692ca49851602a1ea964c70e3b7311b83f0773171f6882f3216f22ee4387e5
4,x-y,https://cdn.pokedb.org/67db4921ae147cf58bb00c3aa60a575814891a893ae4f7d44f7504b542ccaae4
5,black-white,https://cdn.pokedb.org/e10b263bb39e43f01d294392b9f96fc5d94da54f2c3fa251a419320ae8cb9939
5,brilliant-diamond-shining-pearl,https://cdn.pokedb.org/09c65794f52f94875688986aaf45066096e349908f7e4cf45dc0673f57e94bd3
5,diamond-pearl,https://cdn.pokedb.org/b69efd8625fc804ed0fdb49d47805da6a1f40e42fd2515fc6e9cf6213483a800
5,heartgold-soulsilver,https://cdn.pokedb.org/2d9d2582e4b127fab334ccda75009b0c4838656f792c3796786cab05e48fceb7
5,legends-arceus,https://cdn.pokedb.org/6ddd974cd515172721c919ec844b6500e234010b5b2d664a629bad3832d32d0e
5,lets-go-pikachu-lets-go-eevee,https://cdn.pokedb.org/842753745474356f03d109655840e3005a6471daf18253671779c214269cee98
5,ruby-sapphire,https://cdn.pokedb.org/c415503aa0e841aad01ceb7c4ba97e74f5b41b2f83192b08b68cb97f10117e66
5,scarlet-violet,https://cdn.pokedb.org/0052ffd38a7bb17578445c7a4dff36e916aa6998680348d6383302249fc32e7e
5,sun-moon,https://cdn.pokedb.org/071842a54e54ffdc153c9fc52031a2981078900cee85746a9454535bf64d418b
5,sword-shield,https://cdn.pokedb.org/ffc318e20712c95d703a22391bd2f2f92fe39d76b0ca78ea445bcef71182f834
5,x-y,https://cdn.pokedb.org/b4267bb228eb56e95badb3127d46eb69f4b0ea6d8cd26fd0a853dc940e82af73
